과목명,교수,전공,학년,학수번호,강의실,요일,강의시간
바이오촉매공학, 이상현, 생물공학과,3,BBKA47909,공B551,월,15-17
바이오촉매공학, 이상현, 생물공학과,3,BBKA47909,공B551,화,15-17
기기분석화학및실험, 양영헌, 생물공학과,3,BBKA47911,공B551,화,10-13
기기분석화학및실험, 양영헌, 생물공학과,3,BBKA47911,신공613,수,10-13
바이오의약품, 양영헌, 생물공학과,4,BBKA47912,공B551,월,04-06
바이오의약품, 양영헌, 생물공학과,4,BBKA47912,공B551,화,04-06
바이오공정공학입문설계, 박원근, 생물공학과,2,BBKA47918,공B562,화,03-06
바이오공정공학입문설계, 박원근, 생물공학과,2,BBKA47918,공B562,목,13-16
바이오공정공학종합설계," 박기수, 이상현, 박원근, 김형주, 양영헌", 생물공학과,4,BBKA47919,공B551,금,07-18
바이오식품종합설계, 조영재, 생물공학과,4,BBKA55593,공A402,목,07-12
바이오플랜트GMP설계, 김덕상, 생물공학과,4,BBKA57419,공B551,수,01-08
바이오에너지, 김형주, 생물공학과,3,BBKA57421,공B551,월,11-13
바이오에너지, 김형주, 생물공학과,3,BBKA57421,공B551,화,07-09
천연물소재학, 쿠마란, 생물공학과,4,BBKA59080,공A402,화,12-14
천연물소재학, 쿠마란, 생물공학과,4,BBKA59080,공A402,수,11-13
공업유기화학, 쿠마란, 생물공학과,2,BBKA61168,공B562,월,14-16
공업유기화학, 쿠마란, 생물공학과,2,BBKA61168,공B562,수,08-10
GENETIC ENGINEERING AND EXPERIMENT, 박기수, 생물공학과,3,BBKA65349,공A402,화,03-06
GENETIC ENGINEERING AND EXPERIMENT, 박기수, 생물공학과,3,BBKA65349,신공614,수,05-08
신뢰성및보전공학, 김경미, 산업공학과,4,BBLA05938,공A403,월,04-06
신뢰성및보전공학, 김경미, 산업공학과,4,BBLA05938,공A403,수,04-06
의사결정론, 고성석, 산업공학과,3,BBLA05943,공B565,월,16-18
의사결정론, 고성석, 산업공학과,3,BBLA05943,공B565,화,10-12
작업연구, 박근상, 산업공학과,2,BBLA05947,공B155,금,01-06
제품개발및설계, 박근상, 산업공학과,3,BBLA05953,공B155,목,01-06
품질경영, 김경미, 산업공학과,3,BBLA05957,공B565,월,10-12
품질경영, 김경미, 산업공학과,3,BBLA05957,공B565,수,10-12
O.R.1, 고성석, 산업공학과,2,BBLA05964,공B565,월,04-06
O.R.1, 고성석, 산업공학과,2,BBLA05964,공B565,화,04-06
공학입문설계, 박근상, 산업공학과,2,BBLA46495,종강113,수,01-06
산업공학종합설계, 박근상, 산업공학과,4,BBLA47809,공B452,금,09-16
산업공학종합설계, 김종화, 산업공학과,4,BBLA47809,공A403,금,09-16
산업공학종합설계, 김경미, 산업공학과,4,BBLA47809,공B565,금,09-16
산업공학종합설계, 김형중, 산업공학과,4,BBLA47809,공B474,금,09-16
SCM, 김종화, 산업공학과,4,BBLA49019,공B565,월,13-15
SCM, 김종화, 산업공학과,4,BBLA49019,공B565,수,13-15
생산운영관리, 김종화, 산업공학과,3,BBLA57370,공B565,월,07-09
생산운영관리, 김종화, 산업공학과,3,BBLA57370,공B565,수,07-09
데이터애널리틱스, 미배정, 산업공학과,3,BBLA59033,공A403,화,04-06
데이터애널리틱스, 미배정, 산업공학과,3,BBLA59033,공A403,수,01-03
스마트제조, 김형중, 산업공학과,4,BBLA61093,공A403,화,13-15
스마트제조, 김형중, 산업공학과,4,BBLA61093,공A403,목,13-15
교류여자기기, 목형수," 전기공학과, 전자공, 전기전자공학부",3,BBPA05322,공C486,수,01-03
교류여자기기, 목형수," 전기공학과, 전자공, 전기전자공학부",3,BBPA05322,공C486,금,04-06
교류여자기기, 목형수," 전기공학과, 전자공, 전기전자공학부",3,BBPA05322,공C486,수,04-06
교류여자기기, 목형수," 전기공학과, 전자공, 전기전자공학부",3,BBPA05322,공C486,금,01-03
마이크로프로세서응용, 김준태," 전기공학과, 전자공, 전기전자공학부",3,BBPA05340,공C485,월,10-12
마이크로프로세서응용, 김준태," 전기공학과, 전자공, 전기전자공학부",3,BBPA05340,공C485,수,07-09
마이크로프로세서응용, 박성정," 전기공학과, 전자공, 전기전자공학부",3,BBPA05340,공C481-1,화,01-03
마이크로프로세서응용, 박성정," 전기공학과, 전자공, 전기전자공학부",3,BBPA05340,공C481-1,목,04-06
반도체물성, 박기찬," 전기공학과, 디스플레이공학연계, 전자공, 전기전자공학부",3,BBPA05343,공C482,월,01-03
반도체물성, 박기찬," 전기공학과, 디스플레이공학연계, 전자공, 전기전자공학부",3,BBPA05343,공C482,수,04-06
반도체물성, 김현우," 전기공학과, 디스플레이공학연계, 전자공, 전기전자공학부",3,BBPA05343,공C_B182,화,07-09
반도체물성, 김현우," 전기공학과, 디스플레이공학연계, 전자공, 전기전자공학부",3,BBPA05343,공C_B182,목,10-12
반도체물성, 김현우," 전기공학과, 디스플레이공학연계, 전자공, 전기전자공학부",3,BBPA05343,공C_B182,화,04-06
반도체물성, 김현우," 전기공학과, 디스플레이공학연계, 전자공, 전기전자공학부",3,BBPA05343,공C_B182,목,01-03
전력전송공학, 박종배," 전기공학과, 전자공, 전기전자공학부",3,BBPA05407,공C486,월,10-12
전력전송공학, 박종배," 전기공학과, 전자공, 전기전자공학부",3,BBPA05407,공C486,수,10-12
제어공학, 지규인," 전기공학과, 전자공, 전기전자공학부",3,BBPA05419,공C482,월,04-06
제어공학, 지규인," 전기공학과, 전자공, 전기전자공학부",3,BBPA05419,공C482,수,01-03
제어공학, 이도홍," 전기공학과, 전자공, 전기전자공학부",3,BBPA05419,공B366,화,07-09
제어공학, 이도홍," 전기공학과, 전자공, 전기전자공학부",3,BBPA05419,공B366,목,10-12
고주파회로설계, 구현철," 전기공학과, 전자공, 전기전자공학부",4,BBPA12221,공C482,화,10-12
고주파회로설계, 구현철," 전기공학과, 전자공, 전기전자공학부",4,BBPA12221,새204,목,07-09
디지털통신, 유승수," 전기공학과, 전자공, 전기전자공학부",3,BBPA12233,공B473,화,01-03
디지털통신, 유승수," 전기공학과, 전자공, 전기전자공학부",3,BBPA12233,공B473,목,04-06
디지털통신, 유승수," 전기공학과, 전자공, 전기전자공학부",3,BBPA12233,공B473,화,04-06
디지털통신, 유승수," 전기공학과, 전자공, 전기전자공학부",3,BBPA12233,공B473,목,01-03
영상신호처리, 이기승," 전기공학과, 전자공, 전기전자공학부",4,BBPA12243,공C485,화,01-03
영상신호처리, 이기승," 전기공학과, 전자공, 전기전자공학부",4,BBPA12243,공C485,목,04-06
